Team,GF60,GA60,CF%,Sh%,Sv%,OZFO%,DZFO%,NZFO%,PP%,PK%,Playoffs
Washington,2.59,2.29,51.5,8.46,91.93,33.2,32.9,33.9,17.5,85.6,Yes
Winnipeg,2.6,3.1,49.0,8.42,90.16,34.1,31.8,34.1,18.3,77.5,No
Anaheim,2.4,2.68,49.0,8.69,90.56,31.9,32.3,35.8,16.2,82.0,No
Arizona,2.5,2.31,49.4,8.61,92.55,32.7,33.5,33.9,13.5,85.5,Yes
Boston,3.11,2.39,53.4,9.77,91.84,33.7,32.0,34.3,17.2,83.5,Yes
Buffalo,2.53,2.65,49.0,8.82,91.4,33.5,32.5,34.0,16.7,81.7,No
Calgary,2.36,2.59,47.2,8.73,91.46,32.1,34.1,33.9,16.9,84.3,No
Carolina,2.53,2.84,48.8,8.42,91.1,33.3,33.6,33.1,16.3,80.5,No
Chicago,2.86,2.76,52.6,9.27,90.13,35.4,29.6,35.1,15.2,78.1,Yes
Colorado,2.39,2.6,50.9,7.7,91.04,33.0,33.2,33.8,17.5,83.0,No
Columbus,2.38,3.1,49.6,8.03,89.87,32.2,34.3,33.5,15.1,76.6,No
Dallas,2.45,2.6,48.4,8.82,91.45,31.3,36.0,32.7,13.5,82.8,No
Detroit,2.87,2.38,54.5,9.06,91.03,37.2,30.3,32.6,16.1,81.8,Yes
Edmonton,2.49,2.77,46.4,9.48,90.84,32.3,33.1,34.6,20.6,82.4,No
Florida,2.35,2.57,50.0,8.11,91.41,32.8,31.9,35.3,18.5,79.5,Yes
Los Angeles,2.24,2.03,53.5,7.46,92.43,34.0,33.8,32.2,16.9,87.0,Yes
Minnesota,1.96,2.59,44.6,7.56,91.56,30.5,38.0,31.5,15.1,82.1,No
Montreal,2.46,2.55,48.6,8.81,91.22,32.3,33.7,34.0,14.3,88.6,No
Nashville,2.78,2.47,46.1,10.23,91.88,31.2,35.8,33.0,20.4,83.6,Yes
New Jersey,2.56,2.44,50.7,9.52,90.7,32.7,31.7,35.6,16.9,89.6,Yes
NY Islanders,2.34,3.01,47.7,8.1,89.83,33.2,32.9,33.9,18.5,80.5,No
NY Rangers,2.67,2.17,48.2,9.5,92.05,32.2,33.8,34.0,15.7,86.2,Yes
Ottawa,2.92,2.82,51.6,9.45,91.05,34.1,31.2,34.7,18.5,81.6,Yes
Philadelphia,3.1,2.68,52.0,9.78,90.4,34.3,31.7,34.0,19.7,81.8,Yes
Pittsburgh,3.27,2.6,55.2,9.81,90.37,35.2,29.6,35.2,19.4,87.8,Yes
San Jose,2.62,2.44,53.0,7.9,91.29,35.6,32.1,32.3,20.7,76.9,Yes
St. Louis,2.45,1.86,53.0,8.13,92.92,34.2,31.9,33.9,16.7,85.8,Yes
Tampa Bay,2.79,3.34,46.5,10.43,88.88,29.3,34.5,36.3,15.2,79.2,No
Toronto,2.71,3.1,48.9,9.7,89.79,32.8,32.7,34.4,18.4,77.3,No
Vancouver,2.88,2.27,53.0,9.33,92.47,34.2,33.1,32.7,19.8,86.0,Yes
Washington,2.59,2.71,48.0,9.38,90.9,31.1,34.9,34.0,16.7,81.6,Yes
Winnipeg,2.66,2.88,49.7,8.95,90.31,33.0,33.4,33.7,17.9,80.1,No
Anaheim,2.74,2.35,47.9,9.96,91.41,32.4,34.3,33.3,21.5,81.5,Yes
Arizona,2.46,2.55,50.2,8.16,91.48,35.3,33.5,31.2,15.4,79.9,No
Boston,2.59,2.18,53.5,8.1,92.29,33.1,34.3,32.5,13.9,87.1,Yes
Buffalo,2.4,2.83,45.0,8.81,91.34,32.5,34.7,32.8,14.1,79.2,No
Calgary,2.65,3.25,47.7,9.91,88.88,31.0,37.1,31.9,18.7,81.5,No
Carolina,2.63,3.29,51.3,8.23,89.72,35.8,32.3,31.9,13.9,77.6,No
Chicago,3.04,1.98,53.4,9.97,92.28,36.1,31.1,32.8,16.7,87.2,Yes
