#,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Playoffs
7,L.A. Clippers,82,48.4,38.3,82.4,.465,9.7,26.7,.364,18.2,26.2,.692,13.0,21.3,8.8,33.3,42.0,22.8,8.6,5.6,104.5,Yes
8,Cleveland,82,48.4,38.7,84.0,.460,10.7,29.6,.363,16.3,21.7,.748,13.6,20.3,10.6,33.9,44.5,22.7,6.7,3.9,104.3,Yes
9,Washington,82,48.2,39.5,85.8,.460,8.6,24.2,.358,16.5,22.5,.730,14.5,20.8,9.1,32.8,41.8,24.5,8.6,3.9,104.1,No
10,San Antonio,82,48.1,40.1,82.9,.484,7.0,18.5,.375,16.4,20.4,.803,13.1,17.5,9.4,34.5,43.9,24.5,8.3,5.9,103.5,Yes
11,Charlotte,82,48.4,37.0,84.4,.439,10.6,29.4,.362,18.7,23.7,.790,12.6,18.1,9.0,35.0,43.9,21.7,7.3,5.3,103.4,Yes
12,Atlanta,82,48.4,38.6,84.4,.458,9.9,28.4,.350,15.6,20.0,.783,15.0,19.1,8.3,33.8,42.1,25.6,9.1,5.9,102.8,Yes
13,New Orleans,82,48.2,38.5,85.9,.448,8.6,23.8,.360,17.3,22.2,.776,13.4,20.9,9.5,33.1,42.6,22.2,7.7,4.2,102.7,No
14,Toronto,82,48.2,36.7,81.3,.451,8.6,23.3,.370,20.8,26.7,.777,13.1,19.6,10.2,33.2,43.4,18.7,7.8,5.5,102.7,Yes
15,Minnesota,82,48.5,37.7,81.3,.464,5.5,16.4,.338,21.4,27.0,.792,15.0,20.7,10.0,31.5,41.6,23.4,8.0,4.6,102.4,No
16,Dallas,82,48.8,37.4,84.1,.444,9.8,28.5,.344,17.7,22.3,.794,12.8,19.5,9.2,33.9,43.1,22.1,6.8,3.7,102.3,Yes
17,Indiana,82,48.5,38.3,85.2,.450,8.1,23.0,.351,17.4,22.8,.764,14.9,20.0,10.3,33.9,44.2,21.2,9.0,4.8,102.2,Yes
18,Orlando,82,48.5,39.5,86.8,.455,7.8,22.2,.350,15.2,20.1,.757,14.1,20.7,10.3,33.0,43.3,23.6,8.2,5.1,102.1,No
19,Detroit,82,48.5,37.9,86.4,.439,9.0,26.2,.345,17.1,25.5,.668,13.5,19.0,12.5,33.9,46.3,19.4,7.0,3.7,102.0,Yes
20,Denver,82,48.4,37.7,85.4,.442,8.0,23.7,.338,18.5,24.1,.766,14.7,21.0,11.5,33.1,44.6,22.7,7.4,4.8,101.9,No
21,Chicago,82,48.5,38.6,87.4,.441,7.9,21.4,.371,16.5,21.0,.787,13.9,18.8,11.1,35.2,46.3,22.8,6.0,5.7,101.6,No
22,Phoenix,82,48.1,37.2,85.6,.435,9.0,25.8,.348,17.5,23.2,.751,17.2,22.7,11.5,33.3,44.8,20.7,7.7,3.8,100.9,No
23,Miami,82,48.4,38.4,81.7,.470,6.1,18.0,.336,17.1,23.0,.744,14.1,18.3,9.8,34.3,44.1,20.8,6.7,6.5,100.0,Yes
24,Memphis,82,48.4,36.8,83.6,.440,6.1,18.5,.331,19.3,24.7,.783,13.3,21.7,11.2,30.5,41.6,20.7,8.8,4.3,99.1,Yes
25,Milwaukee,82,48.4,38.4,82.2,.467,5.4,15.6,.345,17.0,22.7,.747,15.2,20.7,10.5,31.2,41.7,23.1,8.2,5.8,99.0,No
26,Brooklyn,82,48.2,38.2,84.4,.453,6.5,18.4,.352,15.7,20.7,.757,14.8,18.0,10.5,31.9,42.4,22.3,7.6,4.0,98.6,No
27,New York,82,48.3,36.9,84.0,.439,7.4,21.5,.346,17.2,21.4,.805,13.4,19.7,10.4,34.0,44.4,20.5,5.7,5.7,98.4,No
28,Utah,82,48.7,36.1,80.4,.449,8.5,23.9,.355,17.1,23.0,.744,14.9,20.2,10.7,32.5,43.2,19.0,7.7,5.2,97.7,No
29,Philadelphia,82,48.3,36.2,84.0,.431,9.3,27.5,.339,15.7,22.6,.694,16.4,21.7,9.5,31.8,41.2,21.5,8.3,6.0,97.4,No
30,L.A. Lakers,82,48.1,35.1,84.8,.414,7.8,24.6,.317,19.3,24.7,.781,13.7,20.3,10.7,32.3,43.0,18.0,7.2,4.1,97.3,No
